Time Number Z,HT Phase Current Z,x,x_sq,x_cube,x_four,x_five,x_six,,,,,,,,
-2.01230999,0.723478865,-2.01230999,4.049391498,-8.148630966,16.3975715,-32.99699695,66.40018662,,,,,,,,
-2.012264326,0.668348214,-2.012264326,4.049207717,-8.148076236,16.39608313,-32.99325317,66.39114635,,,,,,,,
-2.012218792,0.60425053,-2.012218792,4.049024468,-8.147523126,16.39459914,-32.98952049,66.38213308,,,,,,,,
-2.012173259,0.533842711,-2.012173259,4.048841224,-8.14697004,16.39311526,-32.98578815,66.37312083,,,,,,,,
-2.012127725,0.537495947,-2.012127725,4.048657983,-8.146416979,16.39163147,-32.98205614,66.3641096,,,,,,,,
-2.002741799,-0.943725153,-2.002741799,4.010974714,-8.032946715,16.08791816,-32.21994616,64.52823293,,,,,,,,
-2.002696266,-0.86999621,-2.002696266,4.010792333,-8.032398827,16.08645514,-32.21628363,64.51943092,,,,,,,,
-2.002650732,-0.778665313,-2.002650732,4.010609955,-8.031850964,16.08499222,-32.21262144,64.51062991,,,,,,,,
-2.002605068,-0.695637224,-2.002605068,4.010427057,-8.031301547,16.08352518,-32.20894903,64.50180454,,,,,,,,
-2.002559534,-0.61460181,-2.002559534,4.010244688,-8.030753734,16.08206246,-32.2052875,64.49300554,,,,,,,,
-2.002514001,-0.516960778,-2.002514001,4.010062323,-8.030205946,16.08059983,-32.20162631,64.48420753,,,,,,,,
-2.002468467,-0.42695833,-2.002468467,4.009879962,-8.029658182,16.07913731,-32.19796545,64.47541052,,,,,,,,
-2.002422803,-0.353561499,-2.002422803,4.00969708,-8.029108865,16.07767068,-32.19429437,64.46658917,,,,,,,,
-2.002377269,-0.264555389,-2.002377269,4.009514728,-8.028561152,16.07620835,-32.19063418,64.45779417,,,,,,,,
-2.002331736,-0.132706784,-2.002331736,4.00933238,-8.028013463,16.07474613,-32.18697432,64.44900016,,,,,,,,
-2.002286202,-0.024438157,-2.002286202,4.009150036,-8.027465799,16.07328401,-32.1833148,64.44020716,,,,,,,,
-2.002240669,0.031356719,-2.002240669,4.008967696,-8.026918161,16.07182199,-32.1796556,64.43141516,,,,,,,,
-2.002195004,0.08084146,-2.002195004,4.008784835,-8.026368969,16.07035585,-32.1759862,64.42259882,,,,,,,,
-2.002149471,0.135639998,-2.002149471,4.008602503,-8.02582138,16.06889403,-32.17232767,64.41380882,,,,,,,,
-2.002103937,0.20637993,-2.002103937,4.008420176,-8.025273816,16.0674323,-32.16866948,64.40501982,,,,,,,,
-2.002058404,0.258521569,-2.002058404,4.008237852,-8.024726276,16.06597068,-32.16501162,64.39623181,,,,,,,,
-2.002012739,0.320294467,-2.002012739,4.008055008,-8.024177184,16.06450494,-32.16134355,64.38741949,,,,,,,,
-2.001967206,0.344870781,-2.001967206,4.007872693,-8.023629695,16.06304352,-32.15768635,64.37863349,,,,,,,,
-2.001921672,0.431219993,-2.001921672,4.007690382,-8.023082231,16.0615822,-32.15402949,64.36984848,,,,,,,,
-2.001876139,0.497642464,-2.001876139,4.007508075,-8.022534791,16.06012097,-32.15037296,64.36106448,,,,,,,,
-2.001830605,0.529857362,-2.001830605,4.007325772,-8.021987377,16.05865985,-32.14671676,64.35228148,,,,,,,,
-2.001784941,0.562072261,-2.001784941,4.007142949,-8.02143841,16.05719461,-32.14305036,64.34347416,,,,,,,,
-2.001739407,0.590633923,-2.001739407,4.006960654,-8.020891045,16.05573369,-32.13939483,64.33469316,,,,,,,,
-2.001693874,0.61985981,-2.001693874,4.006778364,-8.020343705,16.05427286,-32.13573963,64.32591315,,,,,,,,
-2.00164834,0.641115001,-2.00164834,4.006596078,-8.019796391,16.05281214,-32.13208477,64.31713415,,,,,,,,
-2.001602676,0.633476417,-2.001602676,4.006413271,-8.019247524,16.0513473,-32.1284197,64.30833084,,,,,,,,
